Date,RM_Temp,RM_Humidity,WD_Temp,WD_Humidity
20/6/2023 2:22,28.81℃,62.44%,29.56℃,70.81%
20/6/2023 2:32,28.81℃,63.56%,29.50℃,71.06%
20/6/2023 2:42,28.81℃,63.88%,29.25℃,71.88%
20/6/2023 2:52,28.81℃,64.12%,29.13℃,72.38%
20/6/2023 3:02,28.81℃,65.25%,29.13℃,72.62%
20/6/2023 3:12,28.81℃,66.12%,29.13℃,72.44%
20/6/2023 3:22,28.81℃,66.44%,29.13℃,72.44%
20/6/2023 3:32,28.75℃,66.81%,29.06℃,72.62%
20/6/2023 3:42,28.75℃,67.19%,29.13℃,72.88%
20/6/2023 3:52,28.75℃,68.56%,29.13℃,73.38%
20/6/2023 4:02,28.75℃,68.81%,29.13℃,73.44%
20/6/2023 4:12,28.75℃,68.56%,29.13℃,73.50%
20/6/2023 4:22,28.75℃,69.06%,29.13℃,73.56%
20/6/2023 4:32,28.75℃,69.88%,29.13℃,73.56%
20/6/2023 4:42,28.69℃,69.94%,29.13℃,73.62%
20/6/2023 4:52,28.69℃,70.31%,29.13℃,73.69%
20/6/2023 5:02,28.69℃,70.88%,29.13℃,73.75%
20/6/2023 5:12,28.69℃,71.00%,29.19℃,73.81%
20/6/2023 5:22,28.69℃,71.31%,29.19℃,73.88%
20/6/2023 5:32,28.63℃,71.50%,29.19℃,73.88%
20/6/2023 5:42,28.63℃,71.69%,29.13℃,73.94%
20/6/2023 5:52,28.63℃,71.94%,29.13℃,73.94%
20/6/2023 6:02,28.56℃,72.00%,29.13℃,73.94%
20/6/2023 6:12,28.56℃,72.31%,29.13℃,73.94%
20/6/2023 6:22,28.56℃,72.56%,29.13℃,73.94%
20/6/2023 6:32,28.56℃,72.62%,29.13℃,73.44%
20/6/2023 6:42,28.56℃,72.69%,29.13℃,73.50%
20/6/2023 6:52,28.50℃,72.81%,29.13℃,73.56%
20/6/2023 7:02,28.50℃,73.12%,29.06℃,73.56%
20/6/2023 7:12,28.50℃,73.19%,29.06℃,73.50%
20/6/2023 7:22,28.50℃,73.25%,29.06℃,73.44%
20/6/2023 7:32,28.50℃,73.38%,29.06℃,72.88%
20/6/2023 7:42,28.50℃,73.62%,29.06℃,72.81%
20/6/2023 7:52,28.50℃,73.62%,29.06℃,72.56%
20/6/2023 8:02,28.50℃,73.12%,29.00℃,72.44%
20/6/2023 8:12,28.50℃,73.75%,29.00℃,72.31%
20/6/2023 8:22,28.56℃,75.12%,29.00℃,72.38%
20/6/2023 8:32,28.63℃,75.88%,29.00℃,72.50%
20/6/2023 8:42,28.75℃,77.50%,29.00℃,72.50%
20/6/2023 8:52,28.75℃,77.81%,28.94℃,72.56%
20/6/2023 9:02,28.81℃,77.44%,28.94℃,72.44%
20/6/2023 9:12,28.88℃,75.81%,28.94℃,73.00%
20/6/2023 9:22,28.94℃,78.81%,28.94℃,73.25%
20/6/2023 9:32,28.94℃,78.75%,28.94℃,73.31%
20/6/2023 9:42,29.00℃,76.62%,28.94℃,73.31%
20/6/2023 9:52,29.00℃,74.75%,28.94℃,73.31%
20/6/2023 10:02,29.06℃,74.75%,28.88℃,72.94%
20/6/2023 10:12,29.00℃,76.25%,28.88℃,72.81%
20/6/2023 10:22,29.00℃,76.31%,28.88℃,73.12%
20/6/2023 10:32,29.00℃,76.81%,28.81℃,73.31%
20/6/2023 10:42,29.00℃,77.19%,28.81℃,73.50%
20/6/2023 10:52,29.06℃,77.38%,28.81℃,73.56%
20/6/2023 11:02,29.00℃,72.12%,28.75℃,73.56%
20/6/2023 11:12,28.75℃,69.00%,28.75℃,73.62%
20/6/2023 11:22,28.50℃,69.00%,28.75℃,73.62%
20/6/2023 11:32,28.44℃,69.12%,28.69℃,73.62%
20/6/2023 11:42,28.38℃,67.81%,28.63℃,73.69%
20/6/2023 11:52,28.31℃,67.75%,28.63℃,73.69%
20/6/2023 12:02,28.25℃,68.12%,28.63℃,73.69%
20/6/2023 12:12,28.25℃,68.50%,28.56℃,73.75%
20/6/2023 12:22,28.38℃,69.00%,28.56℃,73.75%
20/6/2023 12:32,28.50℃,71.94%,28.56℃,73.81%
20/6/2023 12:42,28.88℃,75.12%,28.56℃,73.88%
20/6/2023 12:52,29.06℃,75.50%,28.50℃,73.94%
20/6/2023 13:02,29.19℃,78.25%,28.50℃,74.00%
20/6/2023 13:12,29.31℃,75.06%,28.50℃,74.06%
20/6/2023 13:22,29.44℃,74.69%,28.44℃,74.06%
20/6/2023 13:32,29.56℃,74.50%,28.44℃,74.12%
20/6/2023 13:42,29.69℃,74.62%,28.44℃,74.25%
20/6/2023 13:52,29.75℃,74.88%,28.38℃,74.31%
20/6/2023 14:02,29.81℃,74.75%,28.38℃,74.38%
20/6/2023 14:12,29.88℃,74.25%,28.38℃,74.50%
20/6/2023 14:22,29.94℃,74.44%,28.31℃,74.50%
20/6/2023 14:32,30.00℃,73.94%,28.31℃,74.50%
