"Date","Temp","Humidity","Remark"
2023/06/20 02:22:22,"28.81℃","62.44%",""
2023/06/20 02:32:22,"28.81℃","63.56%",""
2023/06/20 02:42:22,"28.81℃","63.88%",""
2023/06/20 02:52:22,"28.81℃","64.12%",""
2023/06/20 03:02:22,"28.81℃","65.25%",""
2023/06/20 03:12:22,"28.81℃","66.12%",""
2023/06/20 03:22:22,"28.81℃","66.44%",""
2023/06/20 03:32:22,"28.75℃","66.81%",""
2023/06/20 03:42:22,"28.75℃","67.19%",""
2023/06/20 03:52:22,"28.75℃","68.56%",""
2023/06/20 04:02:22,"28.75℃","68.81%",""
2023/06/20 04:12:22,"28.75℃","68.56%",""
2023/06/20 04:22:22,"28.75℃","69.06%",""
2023/06/20 04:32:22,"28.75℃","69.88%",""
2023/06/20 04:42:22,"28.69℃","69.94%",""
2023/06/20 04:52:22,"28.69℃","70.31%",""
2023/06/20 05:02:22,"28.69℃","70.88%",""
2023/06/20 05:12:22,"28.69℃","71.00%",""
2023/06/20 05:22:22,"28.69℃","71.31%",""
2023/06/20 05:32:22,"28.63℃","71.50%",""
2023/06/20 05:42:22,"28.63℃","71.69%",""
2023/06/20 05:52:22,"28.63℃","71.94%",""
2023/06/20 06:02:22,"28.56℃","72.00%",""
2023/06/20 06:12:22,"28.56℃","72.31%",""
2023/06/20 06:22:22,"28.56℃","72.56%",""
2023/06/20 06:32:22,"28.56℃","72.62%",""
2023/06/20 06:42:22,"28.56℃","72.69%",""
2023/06/20 06:52:22,"28.50℃","72.81%",""
2023/06/20 07:02:22,"28.50℃","73.12%",""
2023/06/20 07:12:22,"28.50℃","73.19%",""
2023/06/20 07:22:22,"28.50℃","73.25%",""
2023/06/20 07:32:22,"28.50℃","73.38%",""
2023/06/20 07:42:22,"28.50℃","73.62%",""
2023/06/20 07:52:22,"28.50℃","73.62%",""
2023/06/20 08:02:22,"28.50℃","73.12%",""
2023/06/20 08:12:22,"28.50℃","73.75%",""
2023/06/20 08:22:22,"28.56℃","75.12%",""
2023/06/20 08:32:22,"28.63℃","75.88%",""
2023/06/20 08:42:22,"28.75℃","77.50%",""
2023/06/20 08:52:22,"28.75℃","77.81%",""
2023/06/20 09:02:22,"28.81℃","77.44%",""
2023/06/20 09:12:22,"28.88℃","75.81%",""
2023/06/20 09:22:22,"28.94℃","78.81%",""
2023/06/20 09:32:22,"28.94℃","78.75%",""
2023/06/20 09:42:22,"29.00℃","76.62%",""
2023/06/20 09:52:22,"29.00℃","74.75%",""
2023/06/20 10:02:22,"29.06℃","74.75%",""
2023/06/20 10:12:22,"29.00℃","76.25%",""
2023/06/20 10:22:22,"29.00℃","76.31%",""
2023/06/20 10:32:22,"29.00℃","76.81%",""
2023/06/20 10:42:22,"29.00℃","77.19%",""
2023/06/20 10:52:22,"29.06℃","77.38%",""
2023/06/20 11:02:22,"29.00℃","72.12%",""
2023/06/20 11:12:22,"28.75℃","69.00%",""
2023/06/20 11:22:22,"28.50℃","69.00%",""
2023/06/20 11:32:22,"28.44℃","69.12%",""
2023/06/20 11:42:22,"28.38℃","67.81%",""
2023/06/20 11:52:22,"28.31℃","67.75%",""
2023/06/20 12:02:22,"28.25℃","68.12%",""
2023/06/20 12:12:22,"28.25℃","68.50%",""
2023/06/20 12:22:22,"28.38℃","69.00%",""
2023/06/20 12:32:22,"28.50℃","71.94%",""
2023/06/20 12:42:22,"28.88℃","75.12%",""
