"Date","Temp","Humidity","Remark"
2023/06/27 15:59:58,"29.56℃","70.81%",""
2023/06/27 16:09:58,"29.50℃","71.06%",""
2023/06/27 16:19:58,"29.25℃","71.88%",""
2023/06/27 16:29:58,"29.13℃","72.38%",""
2023/06/27 16:39:58,"29.13℃","72.62%",""
2023/06/27 16:49:58,"29.13℃","72.44%",""
2023/06/27 16:59:58,"29.13℃","72.44%",""
2023/06/27 17:09:58,"29.06℃","72.62%",""
2023/06/27 17:19:58,"29.13℃","72.88%",""
2023/06/27 17:29:58,"29.13℃","73.38%",""
2023/06/27 17:39:58,"29.13℃","73.44%",""
2023/06/27 17:49:58,"29.13℃","73.50%",""
2023/06/27 17:59:58,"29.13℃","73.56%",""
2023/06/27 18:09:58,"29.13℃","73.56%",""
2023/06/27 18:19:58,"29.13℃","73.62%",""
2023/06/27 18:29:58,"29.13℃","73.69%",""
2023/06/27 18:39:58,"29.13℃","73.75%",""
2023/06/27 18:49:58,"29.19℃","73.81%",""
2023/06/27 18:59:58,"29.19℃","73.88%",""
2023/06/27 19:09:58,"29.19℃","73.88%",""
2023/06/27 19:19:58,"29.13℃","73.94%",""
2023/06/27 19:29:58,"29.13℃","73.94%",""
2023/06/27 19:39:58,"29.13℃","73.94%",""
2023/06/27 19:49:58,"29.13℃","73.94%",""
2023/06/27 19:59:58,"29.13℃","73.94%",""
2023/06/27 20:09:58,"29.13℃","73.44%",""
2023/06/27 20:19:58,"29.13℃","73.50%",""
2023/06/27 20:29:58,"29.13℃","73.56%",""
2023/06/27 20:39:58,"29.06℃","73.56%",""
2023/06/27 20:49:58,"29.06℃","73.50%",""
2023/06/27 20:59:58,"29.06℃","73.44%",""
2023/06/27 21:09:58,"29.06℃","72.88%",""
2023/06/27 21:19:58,"29.06℃","72.81%",""
2023/06/27 21:29:58,"29.06℃","72.56%",""
2023/06/27 21:39:58,"29.00℃","72.44%",""
2023/06/27 21:49:58,"29.00℃","72.31%",""
2023/06/27 21:59:58,"29.00℃","72.38%",""
2023/06/27 22:09:58,"29.00℃","72.50%",""
2023/06/27 22:19:58,"29.00℃","72.50%",""
2023/06/27 22:29:58,"28.94℃","72.56%",""
2023/06/27 22:39:58,"28.94℃","72.44%",""
2023/06/27 22:49:58,"28.94℃","73.00%",""
2023/06/27 22:59:58,"28.94℃","73.25%",""
2023/06/27 23:09:58,"28.94℃","73.31%",""
2023/06/27 23:19:58,"28.94℃","73.31%",""
2023/06/27 23:29:58,"28.94℃","73.31%",""
2023/06/27 23:39:58,"28.88℃","72.94%",""
2023/06/27 23:49:58,"28.88℃","72.81%",""
2023/06/27 23:59:58,"28.88℃","73.12%",""
2023/06/28 00:09:58,"28.81℃","73.31%",""
2023/06/28 00:19:58,"28.81℃","73.50%",""
2023/06/28 00:29:58,"28.81℃","73.56%",""
2023/06/28 00:39:58,"28.75℃","73.56%",""
2023/06/28 00:49:58,"28.75℃","73.62%",""
2023/06/28 00:59:58,"28.75℃","73.62%",""
2023/06/28 01:09:58,"28.69℃","73.62%",""
2023/06/28 01:19:58,"28.63℃","73.69%",""
2023/06/28 01:29:58,"28.63℃","73.69%",""
2023/06/28 01:39:58,"28.63℃","73.69%",""
2023/06/28 01:49:58,"28.56℃","73.75%",""
2023/06/28 01:59:58,"28.56℃","73.75%",""
2023/06/28 02:09:58,"28.56℃","73.81%",""
2023/06/28 02:19:58,"28.56℃","73.88%",""
2023/06/28 02:29:58,"28.50℃","73.94%",""
2023/06/28 02:39:58,"28.50℃","74.00%",""
2023/06/28 02:49:58,"28.50℃","74.06%",""
2023/06/28 02:59:58,"28.44℃","74.06%",""
2023/06/28 03:09:58,"28.44℃","74.12%",""
2023/06/28 03:19:58,"28.44℃","74.25%",""
2023/06/28 03:29:58,"28.38℃","74.31%",""
2023/06/28 03:39:58,"28.38℃","74.38%",""
2023/06/28 03:49:58,"28.38℃","74.50%",""
2023/06/28 03:59:58,"28.31℃","74.50%",""
2023/06/28 04:09:58,"28.31℃","74.50%",""
2023/06/28 04:19:58,"28.31℃","74.50%",""
2023/06/28 04:29:58,"28.31℃","74.50%",""
2023/06/28 04:39:58,"28.25℃","74.50%",""
2023/06/28 04:49:58,"28.25℃","74.56%",""
2023/06/28 04:59:58,"28.25℃","74.31%",""
2023/06/28 05:09:58,"28.19℃","74.38%",""
2023/06/28 05:19:58,"28.19℃","74.38%",""
2023/06/28 05:29:58,"28.19℃","74.38%",""
2023/06/28 05:39:58,"28.13℃","74.38%",""
2023/06/28 05:49:58,"28.13℃","74.25%",""
2023/06/28 05:59:58,"28.13℃","74.19%",""
2023/06/28 06:09:58,"28.06℃","74.12%",""
2023/06/28 06:19:58,"28.06℃","74.12%",""
2023/06/28 06:29:58,"27.94℃","70.44%",""
2023/06/28 06:39:58,"27.94℃","71.88%",""
2023/06/28 06:49:58,"27.88℃","73.31%",""
2023/06/28 06:59:58,"27.94℃","73.56%",""
2023/06/28 07:09:58,"27.88℃","73.62%",""
2023/06/28 07:19:58,"27.88℃","73.62%",""
2023/06/28 07:29:58,"27.88℃","73.69%",""
2023/06/28 07:39:58,"27.88℃","73.62%",""
2023/06/28 07:49:58,"27.88℃","73.62%",""
2023/06/28 07:59:58,"27.88℃","73.62%",""
2023/06/28 08:09:58,"27.81℃","73.56%",""
2023/06/28 08:19:58,"27.81℃","73.50%",""
2023/06/28 08:29:58,"27.81℃","73.31%",""
2023/06/28 08:39:58,"27.81℃","71.88%",""
2023/06/28 08:49:58,"27.81℃","71.94%",""
2023/06/28 08:59:58,"27.81℃","73.19%",""
2023/06/28 09:09:58,"27.81℃","73.25%",""
2023/06/28 09:19:58,"27.81℃","73.19%",""
2023/06/28 09:29:58,"27.81℃","73.06%",""
2023/06/28 09:39:58,"27.81℃","73.00%",""
2023/06/28 09:49:58,"27.81℃","72.88%",""
2023/06/28 09:59:58,"27.81℃","72.69%",""
2023/06/28 10:09:58,"27.81℃","72.62%",""
2023/06/28 10:19:58,"27.81℃","72.50%",""
2023/06/28 10:29:58,"27.81℃","72.38%",""
2023/06/28 10:39:58,"27.81℃","72.31%",""
2023/06/28 10:49:58,"27.81℃","72.31%",""
